1,"PC WORLD"
2,"Better Home & Garden"
3,"Sunset"
4,"Midwest Living"
5,"Newsweek"
6,"House Beautiful"
7,"Best Choices"
8,"People Weekly"
9,"The Journal Of Invasive Cardiology"
10,"Family Circle"
11,"Vegetarian Times"
12,"LADIES' HOME JOURNAL"
13,"HEMISPHERES(United Airlines)"
14,"Endovascular Today"
15,"Road & Track"
16,"House Beautiful"
17,"People"
18,"Physicians' Travel & Meeting Guide."
19,"CBS"
20,"Guardian Unlimited"
21,"Medical Economics"
22,"NEJM"
23,"JACC"
24,"Redident & Staff Physician"
25,"Resident & Staff Physician"
26,"Country Living"
27,"CNN"
28,"KIPLINGER'S"
29,"LIFE"
30,"Entrepreneur"
31,"The Economist"
32,"Business Week"
33,"Car And Driver"
34,"Physician's Practice"
35,"Redbook"
36,"Worth"
37,"JAMA"
38,"ForbesLife"
39,"Time"
40,"U.S.News & World Report"
41,"Seventeen"
42,"investor"
43,"Young & Modern"
44,"Fortune"
45,"GOLF"
46,"Mutual Funds"
47,"MSNBC"
48,"Inc."
49,"Entertainment Weekly"
50,"Oklahoma Magazine"
51,"Cardiovascular Business"
52,"DECORATING REMODELING"
53,"Airplane"
54,"Tulsa People"
55,"PC Magazine"
56,"Your Magazine"
57,"Architectural Digest"
58,"Conde Nast Traveler"
59,"Caribbean Travel + Life"
60,"Woman's Day"
61,"Smart Luxury travel"
62,"bon appetit"
63,"Yachting"
64,"Islands"
65,"Town & Country"
66,"Clinical Cardiology"
67,"Beaumont Hospital"
68,"JET"
69,"Today's Homeowner"
70,"VERANDA"
71,"Family Fun"
72,"Arthritis Today"
73,"Sunset"
74,"Good Housekeeping"
75,"Child"
76,"Chatelaine"
77,"Flying"
78,"Home & Away"
79,"Working Mother"
80,"Strategy & Technology Consultants"
81,"Cardiology Review"
82,"Soap Opera Digest"
83,"Field & Stream"
84,"Glamour"
85,"Modern Healthcare"
86,"Sports Illustrated"
87,"ForbesASAP"
88,"Maclean's"
89,"American Journal of Cardiology"
90,"AutoWeek"
91,"American Way"
92,"Wall Street Journal"
93,"BEST'S REVIEW"
94,"Money"
95,"Parenting"
96,"Diversion"
97,"Archives Of Internal Medicine"
98,"enRoute"
99,"Travel+Leisure"
100,"Vanity Fair"
101,"Teenpeople"
102,"AMERICAN HEART HOSPITAL JOURNAL"
103,"COWBOYS & INDIANS"
104,"Houston"
105,"Coastal Living"
106,"Smart Money"
107,"Cleveland Clinic Journal Of Medicine"
108,"Canadi>n"
109,"Windows Magazine"
110,"Circulation"
111,"Chest"
112,"ABC World News"
113,"Motor Trend"
114,"Motor Cyclist"
115,"Garden Escape"
116,"garden escape"
117,"Golf Digest"
