2,"LIVE WELL EVERYDAY","Woman's Day","WD Aug 2010 Vol.73 Issue#12",11,
4,"MODEMS OF THE MILLENIUM","ZYXEL","BYTE Feb 1996",11,
7,"Dogs Just Know","Pup-Peroni/Del Monte Foods","WDAug 2010 Vol.73 Issue#12",11,
8,"WE'RE ALL ABOUT PEOPLE","Dornier MedTech",,1,
9,"BE GOOD TO THE LAST DROP","Maxwell House","Aug 2010 Vol.73 Issue#12",11,60
11,"Refreshingly Simple","Swiss Premium","WD Aug2010 Vol.73#12",186,
12,"Designed To Make A Difference","Braun Series 3","WD Aug 2010 Vol.73#12",186,
13,"Born Better","Ozarka/Nestle Waters North America Inc.","WD Aug 2010 Vol.73#12",186,
14,"It's Amazing What ONE Can Do.","Purina ONE/Societe des Produits Nestle","WD Aug 2010 Vol.73#12",186,
15,"Happiness Is Simple","Lays Classic/Frito Lay North America Inc.","WD Aug 2010 Vol.73#12",186,
16,"FOREVER SUMMER","DRUMSTICK/Societe des Produits Nestle North America Inc.","WD Aug 2010 Vol.73 #12",186,
17,"The Original Sundae Cone","DRUMSTICK/Societe des Produits Nestle North America Inc.","WD Aug 2010 Vol.73#12",186,
18,"We Love To See Healthy, Happy Pets.","PET SMART/PetSmart Store Support Group Inc.","WD Aug 2010 Vol.73#12",186,
19,"Keep Your Home Smelling Like Home.","Purina Tidy Cats/Societe des Produits Nestle North America","WD Aug 2010 Vol.73#12",186,
20,"REAL DOGS EAT MEAT","ALPO","WD Aug 2010 Vol.73#12",186,
21,"Milk's Favorite Summer Dip","OREO/Kraft Foods","WD Aug 2010 Vol.73#12",186,
24,"DRESS FOR SUCCESS","ban","WD Aug 2010 Vol.73#12",186,
25,"Don't Sweat The Small Stuff","ban","WD Aug 2010 Vol.73#12",186,
27,"STYLE IS AN OPTION. CLEAN IS NOT.","Tide Plus Febreze/Procter & Gamble Inc.","WD Aug 2010 Vol.73#12",186,
28,"Share A Better Life.","Purina Cat Chow/Societe des Produits Nestle SA","WD Aug 2010 Vol.73#12",186,
29,". . .Gets The Tough Stains Out!","Oxiclean/Church & Dwight Co. Inc."," Aug 2010 Vol.73#12",186,60
31,"HELP RELIEVE AND RESTORE WHAT'S YOURS","PREMARIN Vaginal Cream/Pfizer","Aug 2010 Vol.73#12",4,60
32,"It Doesn't Get Better Than This.","Lunchables/Kraft Foods","WD Aug 2010 Vol.73#12",186,
33,"P_ _ HELPS PULL IT OFF","PAM/cONaGRA","WDAug 2010 Vol.73#12",186,
34,"Stop Dieting. Start Living.","WeightWatchers","WD Aug 2010 Vol.73#12",186,
35,"Shaping The Future Of Medicine . . . Issue By Issue.","ARCHIVES OF INTERNAL MEDICINE","JAMA Aug 18, 2010 Vol.304#7",11,
36,"Listen To Pain. Think Fibromyalgia.","www.FibroKnowledge.com","JAMA Aug 18, 2010 Vol.304#7",186,
37,"Working Together For A Healthier World.","Pfizer","JAMA Aug 18, 2010 Vol.304#7",8,
38,"TREAT DEEP","Lyrica/Pfizer","JAMA Aug 18, 2010 Vol.304#7",4,
39,"Turn Here.","Fidelity INVESTMENTS","JAMA Aug 18, 2010 Vol.304#7",25,
41,"All Day Strong. All Day Long","Aleve/Bayer HealthCare LLC","JAMA Aug 2010 Vol.304#7",4,
42,"Healing For Life","Intermountain Healthcare","JAMA Aug 2010 Vol.304#7",186,
46,"It Doesn't Get Better Than This","Oscar Mayer Beef Bologna","FC July 2010",186,
47,"It's Not Just For Steak.","57WAYS/Heinz","FC July 2010",186,
48,"It's Good To Be Home.","AIRWICK/Reckitt Benckiser Inc.","FC July 2010",186,
49,"Give Your SANDWICH A MAKEOVER","SANDWICH SHOP MAYO/Kraft Foods","FC July 2010",186,
51,"GRILLING'S JUICY LITTLE SECRET.","Char-Broil INFRARED/Char-Broil LLC","FC July 2010",186,
54,"Be Good To Your Colon And It Will Be Good To You","Phillips' Caplets/Bayer HealthCare LLC"," July 2010",186,10
56,"Strength In Every Pour","Silk/White Wave","FC July 2010",186,
57,"C_ _ _ r. Love Them Back","Cesar/Mars Inc.","July 2010",186,10
58,"Safe On Wood, Hard On Germs.","Clorox/The Clorox Company"," July 2010",186,10
59,"All The Flavor. All The Fun. Now In A Variety Of Cups.","Edy's/Societe des Produits Nestle","FC July 2010",186,
60,"Green Done Right.","Scott Naturals","FC July 2010",186,
61,"THE OFFICIAL SPONSOR OF BIRTHDAYS.","American Cancer Society.","FC July 2010",186,
62,"Skin Science That Shows.","Eucerin","FC July 2010",186,
63,"Lighten The Night.","GoodNites/Kimberly-Clark Worldwide, Inc.","FC July 2010",186,
64,"K_ _ _ _ _ _'s Makes Fiber FUN.","Kellogg's Apple Jacks, Fruit Loops","FC July 2010",186,
65,"We Love Having You Here.","Hampton","FC July 2010",186,
66,"Together, We Can Save A Life","American Red Cross","JAMA Oct 20, 2010 Vol.304#15",186,
67,"Your Wish Is Our Command","CompHealth","JAMA Oct 20, 2010 Vol.304#15",186,
68,"A Heritage Of Caring. Right In Your Home.","GIRLING HEALTH CARE",,186,
69,"NATIONAL LEADERS IN MEDICINE","BARNES JEWISH Hospital",,16,
70,"There Is A Better Way","athenahealth","OSMA Journal Sept.2010 Vol.103#9",186,
71,"People You Know, Coverage You Can Trust","OSMA HEALTH","OSMA Journal Sept.2010 Vol.103#9",7,
72,"Technology For A Healthy Practice","R&D MedTech","OSMA Journal Sept.2010 Vol.103#9",186,
73,"UNLEASH THE POWER OF THE PL_ _ R.","PLUMR","FC July 2010",186,
75,"POTENT. PROVEN. PROFESSIONAL.","Olay Professiional PRO-X","FC July 2010",186,
76,"ODOR CONTROL MADE EASY.","Purina Tidy Cats BREEZE/Societe des produits Nestle","July 2010",186,10
77,"Life More Colorful.","ROYAL VELVET","FC July 2010",186,
79,"Uncommonly Smooth.","SEATTLE'S BEST/Seattle's Best Coffee, LLC","FC July 2010",186,
81,"The Now Network.","Sprint","FC July 2010",186,
82,"A HIGHER STANDARD OF COMFORT.","American Standard Heating & Air Conditioning"," July 2010",13,10
86,"Wrap Your Home In Winter Luxury.","AIRWICK/Reckitt Benckiser Inc.","LHJ Oct.2010 Vol.CXXVII #9",186,
87,"It's Amazing What Soup Can Do.","Campbell's","LHJ Oct.2010 Vol.CXXVII#9",23,
89,"See The Cure In Curel.","Curel","LHJ Oct.2010 Vol.CXXVII#9",186,
91,"To Us, It's Personal.","Home Instead Senior Care","LHJ Oct.2010 Vol.CXXVII#9",186,
92,"The Beautiful Difference.","Jergen's/Kao Brands Company.","LHJ Oct.2010 Vol.CXXVII#9",186,
93,"Making A Difference Together.","Ladies' Home Journal","LHJ Oct.2010 Vol.CXXVII#9",11,
94,"The Art Of The Cardi- it's in the Details.","LANDS' END","LHJ Oct.2010 Vol.CXXVII#9",186,
95,"The Power of Print.","Magazines","LHJ Oct.2010 Vol.CXXVII#9",11,
97,"Now That's More Like It.","Morning Star Farms/Kellogg NA Co","LHJ Oct.2010 Vol.CXXVII#9",23,
